"ori","agency","weight","tot"
"MI7633600","CROSWELL PD",1.41591447690231,1
"MO0340100","AVA",1.41591447690231,1
"OH0110200","URBANA",1.41591447690231,1
"OH0790600","UHRICHSVILLE",1.41591447690231,1
"IL0530100","DWIGHT PD",1.41605778949883,1
"IL0601900","SOUTH ROXANA PD",1.41605778949883,1
"MN0560100","FERGUS FALLS PD",1.41605778949883,1
"MO0490200","CARTERVILLE",1.41605778949883,1
"MO0952200","DES PERES",1.41605778949883,1
"MO1130200","SEYMOUR",1.41605778949883,1
"WI0380200","NIAGARA PD",1.41605778949883,1
"IL0169000","PHOENIX PD",1.41640447829885,1
"MN0700200","JORDAN PD",1.41640447829885,1
"IL0162C00","WILMETTE PD",1.4165160217679,1
"WI0440100","MINOCQUA PD",1.4173583550148,1
"SD0050100","BROOKINGS PD",1.41763399178899,1
"MO0850500","WAYNESVILLE",1.41915814852767,1
"MI2142400","GLADSTONE PD",1.4193025788035,1
"MI7340600","FRANKENMUTH PD",1.41932787062167,1
"OH0781200","HOWLAND TOWNSHIP",1.41932787062167,1
"IA0140100","CARROLL PD",1.42001221214859,1
"KS0871800","BEL AIRE POLICE DEPARTMENT",1.42001221214859,1
"MI3145400","HANCOCK PD",1.42001221214859,1
